prob
.0306
.0200
.0187
.0205
.0226
.0285
.0222
.0083
.0229
.0226
.0219
.0263
.0239
.0231
.0227
.0285
.0261
.0255
.0276
.0306
.0270
.0276
.0098
.0265
.0312
.0295
.0265
.0256
.0272
.0247
.0459
.0257
.0265
.0226
.0251
.0231
.0084
.0204
.0217
.0248
